ITEM_GP,ITEM NUMBER_GP,GP,ITEM_NG,ITEM NUMBER_NGP,NGP
GP19,19,While the cook grilled the fresh and delicious salmon marinated in the fridge.,NG19,19,While the cook grilled the hotdog the fresh and delicious salmon marinated in the fridge.
GP20,20,While the architect drew the brilliant and interesting sketch was forgotten on the shelf.,NG20,20,While the architect drew the floor plan the brilliant and interesting sketch was forgotten on the shelf.
GP21,21,While the apprentice stirred the creamy and hot risotto was served at the party.,NG21,21,While the apprentice stirred the pasta the creamy and hot risotto was served at the party.
GP22,22,As the cat explored the warm and glowing light turned off in the distance,NG22,22,As the cat explored the room the warm and glowing light turned off in the distance.
GP23,23,As the chef drank the delicious and rich soup stirred in the pot.,NG23,23,As the chef drank the coffee the delicious and rich soup stirred in the pot.
GP24,24,As the baby swallowed the brown and sticky syrup spilled over the carpet.,NG24,24,As the baby swallowed the water the brown and sticky syrup spilled over the carpet.
GP25,25,As the customer attacked the irritated and experienced cashier called the manager back.,NG25,25,As the customer attacked the waiter the irritated and experienced cashier called the manager back.
GP26,26,As the lady dusted the pristine and glossy photo frame reflected the golden sunset.,NG26,26,As the lady dusted the counter top the pristine and glossy photo frame reflected the golden sunset.
GP27,27,As the shopowner counted the packed and sealed inventory arrived at the dock.,NG27,27,As the shopowner counted the chairs the packed and sealed inventory arrived at the dock.
GP28,28,As the kids raced the squeaky and dirty bikes stopped at the trail.,NG28,28,As the kids raced the bus the squeaky and dirty bikes stopped at the trail.
GP29,29,As the girl played the familiar and nostalgic tune aired on the radio.,NG29,29,As the girl played the guitar the familiar and nostalgic tune aired on the radio.
GP30,30,As the artist painted the tall and pale model shifted in his chair.,NG30,30,As the artist painted the child the tall and pale model shifted in his chair.
GP31,31,As the woman parked the red and eye-catching car swerved sharply off course.,NG31,31,As the woman parked the truck the red and eye-catching car swerved sharply off course.
GP32,32,As the vet cleaned the squirming and panting cat circled around his legs.,NG32,32,As the vet cleaned the box the squirming and panting cat circled around his legs.
GP33,33,As the writer smoked the stale and wrinkled cigarette lay in the tray.,NG33,33,As the writer smoked the pipe the stale and wrinkled cigarette lay in the tray.
GP34,34,As the journalist filmed the talented and glamorous actor ran onto the stage.,NG34,34,As the journalist filmed the audience the talented and glamorous actor ran onto the stage.
GP35,35,As the farmer wrestled the unruly and stubborn horse escaped from the stable.,NG35,35,As the farmer wrestled the goat the unruly and stubborn horse escaped from the stable.
GP36,36,As the vigilante fought the dark and towering figure moved closer to the corner.,NG36,36,As the vigilante fought the robber the dark and towering figure moved closer to the corner.
GP37,37,As the connoisseur chewed the tender and juicy steak cooked in the oven.,NG37,37,As the connoisseur chewed the grilled fish the tender and juicy steak cooked in the oven.
GP38,38,As the florist sniffed the stylish and fragrant bouquet stood in the vase.,NG38,38,As the florist sniffed the Jasmine the stylish and fragrant bouquet stood in the vase.
GP39,39,As the worker ate the large and heavy pie fell off the dining table.,NG39,39,As the worker ate the sandwich the large and heavy pie fell off the dining table.
GP40,40,As the owner baked the colorful and oddly-shaped cookies stayed on the counter.,NG40,40,As the owner baked the bread the colorful and oddly-shaped cookies stayed on the counter.
GP41,41,As the detective investigated the mysterious and twinkling sign disappeared from the screen.,NG41,41,As the detective investigated the photo the mysterious and twinkling sign disappeared from the screen.
GP42,42,As the biologist lectured the wide-eyed and spontaneous assistant jumped onto the podium.,NG42,42,As the biologist lectured the visitor the wide-eyed and spontaneous assistant jumped onto the podium.
